,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2979,James Posey,2010-11,34,IND,NBA,1,49,0,839,81,241,14,29,67,212,11,15,10,137,147,34,24,6,24,103,240,0.336,0.483,0.316,0.475,0.733,0.485
2980,Brian Roberts,2015-16,30,TOT,NBA,1,51,0,470,74,165,59,123,15,42,42,47,6,35,41,54,10,2,23,35,205,0.448,0.48,0.357,0.494,0.894,0.552
2981,Larry Sanders,2010-11,22,MIL,NBA,1,60,12,872,116,268,116,268,0,0,28,50,59,119,178,16,22,72,38,117,260,0.433,0.433,,0.433,0.56,0.448
2982,Larry Sanders,2011-12,23,MIL,NBA,1,52,0,643,84,184,84,182,0,2,18,38,62,98,160,33,32,76,43,133,186,0.457,0.462,0,0.457,0.474,0.463
2983,Dario _ari_,2016-17,22,PHI,NBA,1,81,36,2129,381,927,275,586,106,341,172,220,112,401,513,182,57,30,183,162,1040,0.411,0.469,0.311,0.468,0.782,0.508
2984,Kevin Séraphin,2016-17,27,IND,NBA,1,49,3,559,109,198,109,196,0,2,14,22,41,101,142,23,7,20,29,66,232,0.551,0.556,0,0.551,0.636,0.559
2985,James Singleton,2011-12,30,WAS,NBA,1,12,0,262,41,75,39,66,2,9,14,15,25,56,81,15,9,8,10,27,98,0.547,0.591,0.222,0.56,0.933,0.6
2986,Craig Smith,2011-12,28,POR,NBA,1,47,0,464,59,117,59,116,0,1,38,53,33,77,110,19,16,5,24,55,156,0.504,0.509,0,0.504,0.717,0.556
2987,Ish Smith,2013-14,25,PHO,NBA,1,70,1,1006,119,281,118,258,1,23,22,39,31,98,129,179,49,13,65,66,261,0.423,0.457,0.043,0.425,0.564,0.438
2988,Sindarius Thornwell,2017-18,23,LAC,NBA,1,73,17,1156,100,233,77,172,23,61,59,88,33,107,140,68,48,25,53,125,282,0.429,0.448,0.377,0.479,0.67,0.519
2989,Anderson Varejão,2015-16,33,TOT,NBA,1,53,0,496,53,124,53,123,0,1,32,50,37,104,141,35,16,10,22,70,138,0.427,0.431,0,0.427,0.64,0.473
2990,Brad Wanamaker,2018-19,29,BOS,NBA,1,36,0,343,50,105,34,66,16,39,24,28,3,38,41,56,12,2,19,34,140,0.476,0.515,0.41,0.552,0.857,0.597
2991,Earl Watson,2010-11,31,UTA,NBA,1,80,13,1567,126,307,90,200,36,107,55,82,52,130,182,278,61,17,116,146,343,0.41,0.45,0.336,0.469,0.671,0.5
2992,Johnathan Williams,2018-19,23,LAL,NBA,1,24,0,372,65,110,65,108,0,2,27,48,48,51,99,13,8,7,16,62,157,0.591,0.602,0,0.591,0.563,0.599
2993,Mo Williams,2010-11,28,TOT,NBA,1,58,56,1788,291,730,212,486,79,244,151,177,21,132,153,380,53,10,171,150,812,0.399,0.436,0.324,0.453,0.853,0.503
2994,Tyler Zeller,2016-17,27,BOS,NBA,1,51,5,525,78,158,78,157,0,1,22,39,43,81,124,42,7,21,20,61,178,0.494,0.497,0,0.494,0.564,0.508
2995,Ante _i_i_,2017-18,21,CLE,NBA,1,32,2,214,49,67,49,67,0,0,21,29,24,36,60,5,2,13,11,30,119,0.731,0.731,,0.731,0.724,0.746
2996,Ivica Zubac,2017-18,20,LAL,NBA,1,43,0,410,61,122,61,121,0,1,39,51,45,78,123,25,8,15,26,47,161,0.5,0.504,0,0.5,0.765,0.557
2997,Quincy Acy,2016-17,26,TOT,NBA,0.9,38,1,558,70,170,33,80,37,90,45,60,20,95,115,18,14,15,21,67,222,0.412,0.413,0.411,0.521,0.75,0.565
2998,James Anderson,2012-13,23,TOT,NBA,0.9,39,2,401,52,126,31,66,21,60,24,28,18,54,72,42,15,5,25,25,149,0.413,0.47,0.35,0.496,0.857,0.539
2999,Darrell Arthur,2014-15,26,DEN,NBA,0.9,58,4,988,155,384,129,274,26,110,46,59,53,118,171,57,48,26,47,146,382,0.404,0.471,0.236,0.438,0.78,0.466
3000,Luke Babbitt,2017-18,28,TOT,NBA,0.9,50,14,715,91,215,31,59,60,156,17,22,7,89,96,31,8,7,19,54,259,0.423,0.525,0.385,0.563,0.773,0.576
